 ~~~~~~~ CORE NODES ~~~~~~~~
CN0700-Rm100_C6500,10.0.0.12
CN0700-Rm100_C6500,10.0.0.13

 ~~~~ DISTRIBUTION NODES ~~~~
DN0020-1FL-Rm100_C4500,10.0.0.8
DN0020-2FL-Rm200_C4500,10.0.0.9

 ~~~~~~ ACCESS NODES ~~~~~~ 
AN0001-1FL-Rm100_C3750X,10.0.0.5
AN0001-2FL-Rm200_C3850,10.0.0.6
CAN0051-BSMT-Rm2_C3850,10.0.0.7

 ~~~~~~~~ ROUTERS ~~~~~~~~~
RTR090-Rm100_C1000,10.0.0.14
RTR-A51-0710-Rm100_C1000,10.0.0.15

 ~~~~~~~~ SERVERS ~~~~~~~~~
Cisco ISE,10.0.1.2
Cisco ACS,10.0.1.3
InfoBlox,10.0.1.4
